Overall,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,pozicija
88,80,80,80,84,83,83,83,84,84,84,84,85,84,84,84,85,85,83,83,83,85,84,81,81,81,84,90,70,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,71,85,86,12,5,5,5,9,B
85,76,76,76,78,78,78,78,78,79,79,79,79,80,80,80,79,82,81,81,81,82,82,79,79,79,82,81,63,75,82,68,79,78,84,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,77,80,79,80,82,80,5,7,14,15,9,B
85,49,49,49,49,48,48,48,49,49,49,49,53,56,56,56,53,72,74,74,74,72,76,83,83,83,76,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89,8,6,8,15,12,B
84,65,65,65,71,68,68,68,71,70,70,70,74,73,73,73,74,82,80,80,80,82,82,80,80,80,82,83,41,70,81,34,76,72,47,71,83,79,84,81,82,79,64,76,84,74,36,81,83,61,57,45,77,83,83,85,13,13,15,9,15,B
84,62,62,62,56,58,58,58,56,56,56,56,57,59,59,59,57,70,71,71,71,70,73,81,81,81,73,47,44,85,60,46,58,29,35,51,58,64,73,60,81,64,77,86,69,86,48,88,77,49,45,24,82,85,87,85,6,8,5,12,5,B
83,78,78,78,77,78,78,78,77,77,77,77,79,79,79,79,79,81,80,80,80,81,81,79,79,79,81,85,68,83,84,70,79,85,86,73,83,69,76,64,84,58,84,71,90,76,77,75,79,79,69,64,76,79,82,79,9,7,13,9,12,B
83,51,51,51,44,47,47,47,44,46,46,46,48,54,54,54,48,66,72,72,72,66,69,81,81,81,69,29,27,85,63,17,51,35,26,59,59,50,52,34,78,51,57,81,67,90,20,86,83,24,23,39,79,82,85,82,10,14,5,8,10,B
83,68,68,68,67,67,67,67,67,69,69,69,68,73,73,73,68,74,78,78,78,74,75,80,80,80,75,68,55,81,77,63,66,70,76,77,79,59,62,69,75,56,79,78,66,79,73,85,85,54,69,75,77,79,83,82,11,12,10,7,14,B
83,70,70,70,71,72,72,72,71,73,73,73,72,77,77,77,72,79,81,81,81,79,79,82,82,82,79,69,59,78,79,57,72,49,47,74,75,66,67,65,83,63,74,77,86,76,71,79,86,69,76,52,83,88,86,82,12,6,7,12,7,B
82,57,57,57,58,60,60,60,58,62,62,62,62,68,68,68,62,72,77,77,77,72,75,80,80,80,75,36,23,78,78,24,60,25,27,69,76,72,73,62,79,60,58,79,73,80,35,80,82,47,60,43,74,85,82,81,10,10,9,12,7,B
82,56,56,56,55,56,56,56,55,57,57,57,58,63,63,63,58,71,76,76,76,71,74,81,81,81,74,36,30,76,70,28,65,36,24,69,69,63,69,60,78,53,64,78,75,81,46,84,85,31,40,34,76,88,85,81,9,14,12,8,9,B
82,58,58,58,59,58,58,58,59,60,60,60,62,65,65,65,62,74,76,76,76,74,76,81,81,81,76,68,27,80,75,34,59,35,56,72,69,67,78,59,82,50,70,73,60,82,41,88,80,33,57,40,72,82,85,82,14,15,10,12,8,B
82,64,64,64,61,62,62,62,61,63,63,63,62,67,67,67,62,72,76,76,76,72,74,80,80,80,74,53,58,81,77,51,53,55,47,69,70,58,65,63,82,67,66,83,68,78,52,82,82,50,55,54,73,80,82,82,11,9,15,10,6,B
82,61,61,61,61,61,61,61,61,62,62,62,64,68,68,68,64,74,76,76,76,74,75,79,79,79,75,68,44,83,70,38,65,69,60,72,73,49,65,57,77,46,64,81,80,86,50,81,77,45,60,49,78,79,83,82,15,9,12,14,6,B
81,69,69,69,73,72,72,72,73,73,73,73,76,75,75,75,76,80,78,78,78,80,79,77,77,77,79,83,58,69,79,48,76,72,48,70,79,76,74,70,78,68,65,73,85,69,52,76,79,71,75,54,74,78,83,82,11,7,6,7,14,B
81,70,70,70,74,73,73,73,74,73,73,73,76,76,76,76,76,80,77,77,77,80,79,76,76,76,79,85,54,70,79,52,79,77,68,74,80,71,82,72,79,62,80,73,88,68,69,74,76,69,69,76,75,79,81,80,12,7,8,8,13,B
81,60,60,60,58,59,59,59,58,60,60,60,60,64,64,64,60,70,74,74,74,70,72,79,79,79,72,58,51,83,72,45,59,38,52,64,65,52,52,60,81,61,57,78,61,78,31,78,81,51,57,56,84,82,83,81,14,6,9,10,7,B
80,64,64,64,70,68,68,68,70,69,69,69,74,72,72,72,74,78,75,75,75,78,77,75,75,75,77,86,28,71,77,57,76,57,52,69,77,78,78,66,82,66,66,69,86,79,41,78,72,72,68,54,78,72,79,76,10,11,14,13,7,B
80,58,58,58,59,60,60,60,59,62,62,62,63,67,67,67,63,71,75,75,75,71,73,78,78,78,73,59,36,80,73,40,66,54,57,72,70,55,63,58,75,57,63,82,69,81,38,79,79,43,66,52,79,79,82,80,14,8,12,9,7,B
80,67,67,67,74,71,71,71,74,72,72,72,76,72,72,72,76,78,75,75,75,78,77,73,73,73,77,83,48,54,78,49,79,59,42,70,78,88,86,76,78,73,65,60,79,76,40,72,74,73,67,56,75,74,76,77,13,9,15,7,14,B
80,57,57,57,58,56,56,56,58,56,56,56,61,61,61,61,61,74,73,73,73,74,76,79,79,79,76,65,41,79,66,36,53,44,35,60,66,70,80,64,75,63,54,79,76,77,22,83,81,43,50,51,75,85,79,83,16,13,10,9,8,B
80,61,61,61,61,62,62,62,61,65,65,65,64,71,71,71,64,73,77,77,77,73,74,79,79,79,74,54,36,82,77,50,65,63,22,74,69,55,69,55,80,47,66,66,73,77,48,75,83,51,72,42,75,80,84,78,11,15,10,7,10,B
80,60,60,60,62,61,61,61,62,63,63,63,63,67,67,67,63,72,75,75,75,72,74,79,79,79,74,55,40,76,69,36,65,53,45,67,67,69,71,73,76,68,57,83,68,76,53,76,84,50,64,57,76,84,84,80,5,11,12,6,12,B
80,72,72,72,75,75,75,75,75,76,76,76,76,78,78,78,76,79,79,79,79,79,78,76,76,76,78,74,64,60,82,59,77,72,53,76,82,75,72,87,81,86,82,67,87,65,75,84,80,72,73,65,76,77,81,79,10,9,14,11,6,B
80,65,65,65,64,65,65,65,64,66,66,66,66,71,71,71,66,74,77,77,77,74,75,79,79,79,75,65,55,81,74,44,62,59,51,77,73,62,63,63,76,72,65,81,73,78,61,77,83,58,63,68,80,77,84,82,6,7,12,11,14,B
