LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Overall
91,91,91,89,90,90,90,89,88,88,88,88,81,81,81,88,65,61,61,61,65,61,53,53,53,61,84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23,7,11,15,14,11,94
83,83,83,89,88,88,88,89,89,89,89,89,82,82,82,89,66,63,63,63,66,60,49,49,49,60,81,84,61,89,80,95,83,79,83,94,94,88,95,90,94,82,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8,91
84,84,84,79,81,81,81,79,78,78,78,79,72,72,72,79,60,58,58,58,60,57,54,54,54,57,78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,78,83,30,30,30,8,15,14,7,10,87
79,79,79,83,83,83,83,83,83,83,83,83,79,79,79,83,66,63,63,63,66,62,51,51,51,62,82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,62,83,40,42,39,13,9,6,12,10,85
81,81,81,76,78,78,78,76,76,76,76,76,75,75,75,76,71,72,72,72,71,71,72,72,72,71,72,84,90,75,86,76,64,49,67,77,67,73,67,86,53,80,85,83,85,60,88,66,90,74,76,80,59,64,64,10,8,5,8,15,84
75,75,75,84,82,82,82,84,84,84,84,83,77,77,77,83,66,61,61,61,66,60,48,48,48,60,82,76,38,82,72,89,79,79,74,87,94,86,92,83,94,76,70,75,48,79,56,40,81,85,72,84,50,30,34,8,11,12,9,6,84
81,81,81,82,83,83,83,82,81,81,81,81,73,73,73,81,61,59,59,59,61,57,52,52,52,57,66,84,74,76,72,86,76,54,66,85,87,85,92,86,91,78,77,84,68,73,73,32,88,77,78,82,53,23,19,13,8,6,6,15,83
74,74,74,82,81,81,81,82,83,83,83,82,76,76,76,82,60,56,56,56,60,55,42,42,42,55,84,70,50,86,72,88,87,80,75,89,83,77,86,78,84,78,50,77,56,87,23,20,76,84,72,76,50,23,18,15,15,9,8,9,83
77,77,77,82,81,81,81,82,82,82,82,81,75,75,75,81,58,55,55,55,58,53,43,43,43,53,79,75,57,82,71,85,77,81,73,85,87,82,92,80,84,85,58,74,64,85,53,26,79,83,68,78,21,28,17,8,14,15,7,9,82
80,80,80,77,79,79,79,77,75,75,75,76,69,69,69,76,67,63,63,63,67,66,62,62,62,66,64,85,69,65,82,76,60,57,48,76,89,91,75,88,76,85,76,86,67,67,92,49,85,72,81,82,56,52,51,15,14,7,15,11,82
81,81,81,80,81,81,81,80,79,79,79,79,72,72,72,79,60,58,58,58,60,57,51,51,51,57,74,84,71,75,80,80,78,54,66,82,88,88,80,81,72,84,79,79,76,74,72,39,85,73,69,80,32,29,21,6,13,6,14,6,82
77,77,77,82,82,82,82,82,84,84,84,82,79,79,79,82,60,59,59,59,60,54,44,44,44,54,76,80,49,88,76,86,86,81,87,88,77,72,79,83,74,77,54,73,67,77,29,28,81,87,56,72,44,25,18,6,8,6,12,11,82
75,75,75,80,80,80,80,80,80,80,80,79,74,74,74,79,63,61,61,61,63,59,50,50,50,59,78,78,55,80,70,84,81,57,71,85,79,74,82,81,80,77,66,70,47,79,56,49,82,77,66,77,49,32,31,5,11,12,15,9,82
80,80,80,80,80,80,80,80,79,79,79,80,75,75,75,80,66,65,65,65,66,63,60,60,60,63,80,78,74,78,79,84,79,72,74,85,79,83,70,78,66,84,67,78,84,75,84,44,83,77,77,81,43,48,39,14,15,10,10,15,82
79,79,79,72,76,76,76,72,74,74,74,71,71,71,71,71,55,59,59,59,55,52,56,56,56,52,64,83,90,79,82,70,70,65,58,83,43,50,57,83,54,85,84,62,88,74,76,42,83,76,83,78,37,37,20,12,15,11,6,5,82
81,81,81,74,78,78,78,74,75,75,75,72,69,69,69,72,58,59,59,59,58,57,61,61,61,57,54,83,92,72,80,76,61,54,52,82,64,66,50,85,55,82,90,60,82,78,82,23,87,73,82,87,58,44,49,14,10,9,15,9,82
