Overall,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,pozicija
91,82,82,82,87,87,87,87,87,88,88,88,88,87,87,87,88,77,77,77,77,77,73,66,66,66,73,93,82,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,61,87,94,79,88,68,58,51,15,13,5,10,13,V
90,78,78,78,81,82,82,82,81,84,84,84,82,86,86,86,82,79,82,82,82,79,77,72,72,72,77,88,76,54,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,73,85,72,79,69,10,11,13,7,10,V
87,81,81,81,82,82,82,82,82,83,83,83,83,84,84,84,83,77,78,78,78,77,75,74,74,74,75,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68,5,6,2,4,3,V
86,77,77,77,85,83,83,83,85,84,84,84,84,78,78,78,84,69,63,63,63,69,64,53,53,53,64,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34,13,15,9,12,5,V
86,75,75,75,82,81,81,81,82,84,84,84,82,78,78,78,82,57,56,56,56,57,52,40,40,40,52,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19,6,14,10,6,14,V
85,81,81,81,79,81,81,81,79,82,82,82,80,83,83,83,80,77,80,80,80,77,76,79,79,79,76,64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,7,10,7,16,7,V
85,77,77,77,81,81,81,81,81,83,83,83,83,84,84,84,83,76,78,78,78,76,73,70,70,70,73,86,72,61,90,56,82,85,76,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,87,59,78,80,69,51,14,12,5,10,13,V
85,81,81,81,79,81,81,81,79,81,81,81,79,82,82,82,79,78,81,81,81,78,78,80,80,80,78,64,81,85,84,75,82,66,72,80,84,73,73,69,84,66,83,90,92,81,80,81,81,84,78,71,80,75,81,73,16,16,11,6,8,V
84,81,81,81,81,82,82,82,81,83,83,83,81,83,83,83,81,76,78,78,78,76,75,73,73,73,75,69,83,77,85,79,83,75,68,80,85,73,76,76,85,62,78,67,90,71,80,84,74,86,85,74,86,70,70,63,7,6,9,11,8,V
84,73,73,73,75,75,75,75,75,76,76,76,77,79,79,79,77,82,83,83,83,82,82,82,82,82,82,79,66,75,83,47,76,71,53,78,82,69,72,69,83,67,78,75,92,79,65,85,84,70,75,91,84,83,86,84,13,12,6,8,8,V
84,77,77,77,82,81,81,81,82,82,82,82,82,78,78,78,82,63,61,61,61,63,59,50,50,50,59,87,78,59,84,77,86,90,84,80,90,75,72,79,75,80,80,48,73,72,82,57,37,79,87,74,82,32,36,39,11,15,9,14,12,V
83,78,78,78,77,78,78,78,77,79,79,79,78,81,81,81,78,76,80,80,80,76,76,77,77,77,76,67,75,82,84,62,77,66,73,86,81,75,66,75,83,74,82,90,87,77,81,81,76,79,80,70,74,75,78,71,7,10,14,9,14,V
83,76,76,76,82,81,81,81,82,82,82,82,82,79,79,79,82,74,71,71,71,74,72,64,64,64,72,83,75,54,84,78,85,85,81,75,86,86,84,87,80,86,79,71,79,63,76,63,66,77,85,68,80,55,59,63,11,15,13,7,14,V
83,77,77,77,79,79,79,79,79,80,80,80,80,81,81,81,80,80,80,80,80,80,79,77,77,77,79,75,72,75,84,68,81,76,75,79,83,84,79,76,83,70,77,67,86,70,78,80,83,77,82,60,80,70,79,78,13,8,15,11,9,V
83,79,79,79,83,82,82,82,83,81,81,81,82,75,75,75,82,63,58,58,58,63,59,49,49,49,59,79,86,60,78,69,84,75,76,73,82,90,91,87,82,79,82,82,83,61,83,60,33,79,81,74,78,36,30,32,10,13,6,7,13,V
83,74,74,74,78,78,78,78,78,79,79,79,79,81,81,81,79,82,83,83,83,82,82,80,80,80,82,70,72,59,85,56,82,65,49,77,80,81,74,82,86,80,70,70,95,77,66,87,86,79,79,53,79,85,85,83,13,13,5,5,8,V
83,71,71,71,72,73,73,73,72,75,75,75,74,78,78,78,74,77,81,81,81,77,77,79,79,79,77,63,62,72,82,59,77,74,47,81,78,67,67,78,82,80,77,82,80,67,66,80,87,66,81,61,86,82,82,78,10,8,8,5,6,V
82,73,73,73,77,78,78,78,77,79,79,79,78,80,80,80,78,75,76,76,76,75,73,71,71,71,73,70,72,58,85,63,82,68,60,80,83,68,70,79,81,86,76,83,78,62,74,73,75,77,82,69,84,65,76,70,6,13,13,11,12,V
