id,Overall,id,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,pozicija
1,94,1,91,91,91,89,90,90,90,89,88,88,88,88,81,81,81,88,65,61,61,61,65,61,53,53,53,61,84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23,7,11,15,14,11,N
2,91,2,82,82,82,87,87,87,87,87,88,88,88,88,87,87,87,88,77,77,77,77,77,73,66,66,66,73,93,82,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,61,87,94,79,88,68,58,51,15,13,5,10,13,V
3,91,3,83,83,83,89,88,88,88,89,89,89,89,89,82,82,82,89,66,63,63,63,66,60,49,49,49,60,81,84,61,89,80,95,83,79,83,94,94,88,95,90,94,82,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8,N
4,90,4,78,78,78,81,82,82,82,81,84,84,84,82,86,86,86,82,79,82,82,82,79,77,72,72,72,77,88,76,54,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,73,85,72,79,69,10,11,13,7,10,V
5,88,5,80,80,80,84,83,83,83,84,84,84,84,85,84,84,84,85,85,83,83,83,85,84,81,81,81,84,90,70,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,71,85,86,12,5,5,5,9,B
6,87,6,81,81,81,82,82,82,82,82,83,83,83,83,84,84,84,83,77,78,78,78,77,75,74,74,74,75,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68,5,6,2,4,3,V
7,87,7,84,84,84,79,81,81,81,79,78,78,78,79,72,72,72,79,60,58,58,58,60,57,54,54,54,57,78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,78,83,30,30,30,8,15,14,7,10,N
8,86,8,77,77,77,85,83,83,83,85,84,84,84,84,78,78,78,84,69,63,63,63,69,64,53,53,53,64,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34,13,15,9,12,5,V
9,86,9,75,75,75,82,81,81,81,82,84,84,84,82,78,78,78,82,57,56,56,56,57,52,40,40,40,52,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19,6,14,10,6,14,V
10,85,10,81,81,81,79,81,81,81,79,82,82,82,80,83,83,83,80,77,80,80,80,77,76,79,79,79,76,64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,7,10,7,16,7,V
11,85,11,79,79,79,83,83,83,83,83,83,83,83,83,79,79,79,83,66,63,63,63,66,62,51,51,51,62,82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,62,83,40,42,39,13,9,6,12,10,N
12,85,12,76,76,76,78,78,78,78,78,79,79,79,79,80,80,80,79,82,81,81,81,82,82,79,79,79,82,81,63,75,82,68,79,78,84,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,77,80,79,80,82,80,5,7,14,15,9,B
13,85,13,77,77,77,81,81,81,81,81,83,83,83,83,84,84,84,83,76,78,78,78,76,73,70,70,70,73,86,72,61,90,56,82,85,76,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,87,59,78,80,69,51,14,12,5,10,13,V
14,85,14,49,49,49,49,48,48,48,49,49,49,49,53,56,56,56,53,72,74,74,74,72,76,83,83,83,76,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89,8,6,8,15,12,B
15,85,15,81,81,81,79,81,81,81,79,81,81,81,79,82,82,82,79,78,81,81,81,78,78,80,80,80,78,64,81,85,84,75,82,66,72,80,84,73,73,69,84,66,83,90,92,81,80,81,81,84,78,71,80,75,81,73,16,16,11,6,8,V
16,84,16,81,81,81,81,82,82,82,81,83,83,83,81,83,83,83,81,76,78,78,78,76,75,73,73,73,75,69,83,77,85,79,83,75,68,80,85,73,76,76,85,62,78,67,90,71,80,84,74,86,85,74,86,70,70,63,7,6,9,11,8,V
17,84,17,73,73,73,75,75,75,75,75,76,76,76,77,79,79,79,77,82,83,83,83,82,82,82,82,82,82,79,66,75,83,47,76,71,53,78,82,69,72,69,83,67,78,75,92,79,65,85,84,70,75,91,84,83,86,84,13,12,6,8,8,V
18,84,18,65,65,65,71,68,68,68,71,70,70,70,74,73,73,73,74,82,80,80,80,82,82,80,80,80,82,83,41,70,81,34,76,72,47,71,83,79,84,81,82,79,64,76,84,74,36,81,83,61,57,45,77,83,83,85,13,13,15,9,15,B
19,84,19,81,81,81,76,78,78,78,76,76,76,76,76,75,75,75,76,71,72,72,72,71,71,72,72,72,71,72,84,90,75,86,76,64,49,67,77,67,73,67,86,53,80,85,83,85,60,88,66,90,74,76,80,59,64,64,10,8,5,8,15,N
20,84,20,77,77,77,82,81,81,81,82,82,82,82,82,78,78,78,82,63,61,61,61,63,59,50,50,50,59,87,78,59,84,77,86,90,84,80,90,75,72,79,75,80,80,48,73,72,82,57,37,79,87,74,82,32,36,39,11,15,9,14,12,V
21,84,21,62,62,62,56,58,58,58,56,56,56,56,57,59,59,59,57,70,71,71,71,70,73,81,81,81,73,47,44,85,60,46,58,29,35,51,58,64,73,60,81,64,77,86,69,86,48,88,77,49,45,24,82,85,87,85,6,8,5,12,5,B
22,84,22,75,75,75,84,82,82,82,84,84,84,84,83,77,77,77,83,66,61,61,61,66,60,48,48,48,60,82,76,38,82,72,89,79,79,74,87,94,86,92,83,94,76,70,75,48,79,56,40,81,85,72,84,50,30,34,8,11,12,9,6,N
23,83,23,81,81,81,82,83,83,83,82,81,81,81,81,73,73,73,81,61,59,59,59,61,57,52,52,52,57,66,84,74,76,72,86,76,54,66,85,87,85,92,86,91,78,77,84,68,73,73,32,88,77,78,82,53,23,19,13,8,6,6,15,N
24,83,24,78,78,78,77,78,78,78,77,79,79,79,78,81,81,81,78,76,80,80,80,76,76,77,77,77,76,67,75,82,84,62,77,66,73,86,81,75,66,75,83,74,82,90,87,77,81,81,76,79,80,70,74,75,78,71,7,10,14,9,14,V
25,83,25,76,76,76,82,81,81,81,82,82,82,82,82,79,79,79,82,74,71,71,71,74,72,64,64,64,72,83,75,54,84,78,85,85,81,75,86,86,84,87,80,86,79,71,79,63,76,63,66,77,85,68,80,55,59,63,11,15,13,7,14,V
26,83,26,77,77,77,79,79,79,79,79,80,80,80,80,81,81,81,80,80,80,80,80,80,79,77,77,77,79,75,72,75,84,68,81,76,75,79,83,84,79,76,83,70,77,67,86,70,78,80,83,77,82,60,80,70,79,78,13,8,15,11,9,V
27,83,27,79,79,79,83,82,82,82,83,81,81,81,82,75,75,75,82,63,58,58,58,63,59,49,49,49,59,79,86,60,78,69,84,75,76,73,82,90,91,87,82,79,82,82,83,61,83,60,33,79,81,74,78,36,30,32,10,13,6,7,13,V
28,83,28,74,74,74,82,81,81,81,82,83,83,83,82,76,76,76,82,60,56,56,56,60,55,42,42,42,55,84,70,50,86,72,88,87,80,75,89,83,77,86,78,84,78,50,77,56,87,23,20,76,84,72,76,50,23,18,15,15,9,8,9,N
29,83,29,74,74,74,78,78,78,78,78,79,79,79,79,81,81,81,79,82,83,83,83,82,82,80,80,80,82,70,72,59,85,56,82,65,49,77,80,81,74,82,86,80,70,70,95,77,66,87,86,79,79,53,79,85,85,83,13,13,5,5,8,V
30,83,30,78,78,78,77,78,78,78,77,77,77,77,79,79,79,79,79,81,80,80,80,81,81,79,79,79,81,85,68,83,84,70,79,85,86,73,83,69,76,64,84,58,84,71,90,76,77,75,79,79,69,64,76,79,82,79,9,7,13,9,12,B
31,83,31,51,51,51,44,47,47,47,44,46,46,46,48,54,54,54,48,66,72,72,72,66,69,81,81,81,69,29,27,85,63,17,51,35,26,59,59,50,52,34,78,51,57,81,67,90,20,86,83,24,23,39,79,82,85,82,10,14,5,8,10,B
32,83,32,68,68,68,67,67,67,67,67,69,69,69,68,73,73,73,68,74,78,78,78,74,75,80,80,80,75,68,55,81,77,63,66,70,76,77,79,59,62,69,75,56,79,78,66,79,73,85,85,54,69,75,77,79,83,82,11,12,10,7,14,B
33,83,33,70,70,70,71,72,72,72,71,73,73,73,72,77,77,77,72,79,81,81,81,79,79,82,82,82,79,69,59,78,79,57,72,49,47,74,75,66,67,65,83,63,74,77,86,76,71,79,86,69,76,52,83,88,86,82,12,6,7,12,7,B
34,83,34,71,71,71,72,73,73,73,72,75,75,75,74,78,78,78,74,77,81,81,81,77,77,79,79,79,77,63,62,72,82,59,77,74,47,81,78,67,67,78,82,80,77,82,80,67,66,80,87,66,81,61,86,82,82,78,10,8,8,5,6,V
35,82,35,73,73,73,77,78,78,78,77,79,79,79,78,80,80,80,78,75,76,76,76,75,73,71,71,71,73,70,72,58,85,63,82,68,60,80,83,68,70,79,81,86,76,83,78,62,74,73,75,77,82,69,84,65,76,70,6,13,13,11,12,V
36,82,36,68,68,68,74,73,73,73,74,75,75,75,75,78,78,78,75,80,81,81,81,80,79,77,77,77,79,74,50,55,83,65,78,66,76,77,81,81,74,83,79,93,78,52,85,66,74,85,87,65,74,48,78,84,84,75,5,5,13,7,9,V
37,82,37,77,77,77,82,81,81,81,82,82,82,82,81,75,75,75,81,58,55,55,55,58,53,43,43,43,53,79,75,57,82,71,85,77,81,73,85,87,82,92,80,84,85,58,74,64,85,53,26,79,83,68,78,21,28,17,8,14,15,7,9,N
