Weight,SprintSpeed,pozicija
159lbs,86,N
150lbs,90,N
146lbs,72,V
190lbs,75,N
181lbs,75,B
176lbs,78,N
172lbs,68,B
148lbs,64,V
159lbs,78,V
165lbs,83,N
196lbs,72,N
161lbs,85,V
168lbs,52,V
170lbs,76,N
154lbs,80,N
187lbs,75,B
161lbs,96,V
157lbs,91,V
185lbs,65,V
172lbs,67,V
130lbs,86,N
174lbs,69,N
168lbs,73,V
150lbs,75,N
176lbs,95,V
203lbs,64,B
181lbs,95,N
196lbs,73,N
181lbs,72,B
165lbs,73,B
165lbs,78,N
196lbs,75,B
187lbs,85,N
150lbs,93,B
134lbs,85,N
190lbs,65,B
174lbs,68,V
172lbs,59,V
187lbs,60,B
165lbs,96,N
141lbs,74,N
152lbs,93,V
203lbs,77,B
152lbs,92,N
168lbs,77,V
179lbs,85,B
132lbs,62,V
176lbs,86,B
165lbs,75,V
154lbs,69,V
157lbs,85,V
168lbs,76,B
187lbs,65,B
179lbs,66,B
159lbs,66,V
207lbs,75,B
148lbs,67,V
150lbs,67,N
176lbs,73,B
165lbs,79,V
154lbs,68,V
170lbs,73,V
148lbs,83,N
161lbs,84,N
179lbs,61,B
163lbs,43,V
163lbs,79,N
146lbs,75,V
198lbs,72,B
165lbs,55,V
176lbs,88,V
185lbs,66,N
198lbs,60,V
190lbs,76,N
170lbs,73,V
201lbs,65,B
165lbs,77,V
172lbs,69,B
179lbs,76,N
163lbs,75,B
187lbs,59,B
179lbs,70,B
209lbs,59,N
174lbs,79,B
176lbs,70,B
157lbs,85,B
187lbs,66,B
152lbs,76,V
214lbs,84,B
168lbs,89,N
165lbs,76,V
183lbs,53,V
148lbs,69,V
154lbs,80,V
172lbs,87,N
143lbs,87,V
172lbs,69,B
159lbs,93,V
148lbs,78,N
187lbs,59,V
165lbs,57,V
154lbs,93,B
176lbs,68,V
161lbs,89,V
152lbs,84,V
172lbs,86,N
157lbs,64,V
179lbs,74,V
163lbs,64,N
159lbs,66,N
181lbs,53,B
192lbs,77,B
148lbs,82,V
176lbs,76,V
148lbs,92,N
165lbs,87,N
176lbs,78,B
183lbs,83,N
176lbs,78,B
141lbs,60,V
157lbs,93,V
214lbs,77,B
176lbs,76,V
165lbs,93,N
176lbs,74,V
143lbs,74,V
154lbs,79,N
161lbs,87,V
170lbs,80,N
190lbs,67,B
172lbs,74,V
165lbs,65,V
165lbs,90,N
174lbs,61,B
154lbs,71,B
170lbs,77,V
154lbs,89,V
154lbs,90,V
183lbs,68,V
168lbs,79,B
194lbs,55,B
150lbs,79,B
170lbs,91,N
159lbs,73,V
148lbs,71,V
146lbs,72,V
165lbs,78,V
176lbs,66,V
196lbs,54,N
146lbs,72,V
194lbs,82,N
172lbs,64,B
150lbs,79,V
139lbs,62,V
190lbs,53,V
170lbs,54,V
181lbs,72,V
159lbs,78,V
183lbs,67,V
196lbs,72,B
181lbs,66,V
154lbs,81,V
181lbs,74,B
159lbs,94,V
150lbs,90,V
168lbs,84,B
161lbs,72,V
141lbs,86,B
176lbs,35,V
185lbs,84,V
185lbs,67,B
148lbs,86,V
163lbs,91,B
141lbs,79,V
159lbs,79,N
163lbs,70,V
137lbs,82,V
139lbs,89,V
148lbs,84,B
220lbs,53,B
198lbs,81,V
187lbs,62,B
176lbs,76,V
174lbs,74,B
187lbs,86,N
150lbs,83,N
154lbs,76,V
146lbs,92,N
141lbs,76,N
161lbs,72,B
203lbs,64,B
205lbs,65,N
176lbs,85,B
172lbs,59,B
174lbs,78,V
165lbs,64,V
165lbs,77,V
141lbs,91,V
165lbs,55,V
152lbs,82,V
159lbs,75,B
183lbs,70,B
181lbs,55,V
134lbs,80,N
146lbs,79,V
176lbs,66,V
168lbs,67,N
165lbs,69,V
176lbs,55,V
198lbs,67,B
152lbs,76,V
187lbs,43,B
170lbs,69,B
148lbs,73,V
198lbs,36,B
192lbs,63,B
165lbs,66,B
139lbs,65,V
150lbs,79,B
152lbs,67,N
139lbs,78,V
174lbs,90,V
187lbs,86,B
154lbs,76,V
148lbs,92,B
170lbs,79,B
154lbs,67,V
154lbs,93,N
161lbs,70,V
150lbs,70,V
174lbs,94,N
150lbs,82,V
179lbs,70,B
161lbs,69,V
154lbs,82,B
154lbs,87,B
152lbs,83,B
168lbs,70,V
170lbs,75,N
174lbs,77,N
183lbs,77,B
172lbs,74,N
170lbs,77,V
187lbs,86,B
168lbs,79,B
152lbs,77,N
179lbs,91,V
185lbs,79,N
174lbs,70,V
174lbs,77,V
181lbs,49,V
168lbs,68,V
154lbs,65,V
134lbs,86,N
185lbs,55,B
143lbs,70,B
159lbs,77,V
137lbs,79,V
187lbs,82,B
170lbs,87,N
159lbs,87,V
179lbs,74,B
150lbs,60,V
130lbs,78,V
176lbs,85,N
176lbs,67,N
183lbs,83,B
185lbs,65,B
176lbs,72,B
139lbs,79,V
161lbs,63,V
190lbs,65,V
174lbs,83,B
154lbs,78,V
163lbs,76,B
176lbs,74,V
168lbs,78,B
170lbs,80,N
190lbs,67,V
183lbs,85,V
134lbs,59,V
161lbs,52,V
174lbs,67,N
170lbs,70,N
165lbs,76,V
159lbs,73,V
152lbs,66,N
150lbs,74,V
154lbs,62,V
185lbs,74,B
165lbs,65,N
183lbs,86,V
154lbs,79,V
146lbs,82,B
139lbs,89,V
152lbs,80,B
165lbs,68,V
187lbs,65,B
168lbs,73,B
154lbs,75,V
152lbs,75,B
176lbs,64,V
168lbs,85,N
179lbs,51,B
176lbs,69,B
179lbs,69,V
150lbs,67,V
146lbs,93,N
176lbs,92,V
150lbs,76,V
170lbs,81,N
159lbs,67,V
146lbs,87,B
185lbs,62,V
143lbs,86,B
161lbs,74,V
168lbs,69,V
183lbs,69,B
181lbs,65,B
165lbs,69,V
168lbs,64,V
165lbs,85,B
183lbs,62,B
201lbs,76,N
139lbs,77,V
154lbs,80,V
172lbs,76,N
163lbs,91,B
216lbs,38,B
161lbs,88,N
198lbs,68,V
172lbs,76,B
176lbs,56,V
181lbs,80,B
163lbs,75,B
159lbs,76,N
143lbs,89,V
181lbs,83,N
154lbs,85,V
168lbs,78,B
183lbs,72,B
183lbs,76,V
159lbs,71,B
176lbs,66,B
170lbs,67,V
170lbs,73,B
163lbs,80,B
196lbs,60,B
159lbs,53,B
163lbs,76,V
163lbs,62,V
152lbs,76,N
190lbs,57,N
139lbs,75,V
150lbs,71,N
163lbs,65,V
192lbs,61,V
170lbs,72,B
163lbs,73,V
165lbs,55,V
159lbs,69,N
161lbs,31,V
187lbs,54,B
148lbs,75,B
179lbs,85,N
152lbs,79,B
159lbs,67,B
168lbs,41,V
161lbs,71,V
168lbs,76,N
179lbs,74,V
