overall,koef
90,1.02149
89,0.994893
89,1.07006
89,1.0516
88,1.0516
88,1.0516
87,0.949196
86,1.01085
85,1.05512
84,0.978784
84,0.904448
84,0.96063
84,0.968711
84,1.02149
84,1.09066
84,1.04278
83,1.02569
83,0.971129
83,0.962971
83,0.971129
83,1.09025
83,1.06562
83,0.971129
83,0.951444
83,0.950131
83,1.08002
82,0.915227
82,1.01237
82,0.981627
82,0.904448
82,0.959015
82,0.911728
82,1.01237
82,1.01237
82,0.997735
81,0.891007
81,0.927624
81,1.05839
81,0.855643
80,1.09066
80,0.984252
80,1.03213
80,0.965376
80,0.994893
80,0.837237
80,1.06862
80,1.03213
80,0.923885
80,1.01085
80,0.958351
80,0.994613
80,0.927624
80,1.00215
80,0.901368
80,0.973611
80,1.00852
79,0.949196
79,0.936369
79,1.02569
79,0.889872
79,1.00497
79,1.02149
79,0.98972
79,1.01533
79,0.95233
79,0.997375
79,0.96238
79,0.923683
79,1.08002
79,1.02771
79,0.981627
78,0.93763
78,0.984252
78,0.968711
78,0.923885
78,0.994613
78,0.994893
78,1.00852
78,0.893807
78,0.940507
78,1.00852
78,1.02253
78,1.03213
78,0.96238
78,1.06862
77,1.03937
77,0.96063
77,0.891007
77,0.867206
77,1.01533
77,0.98972
77,0.984252
77,1.07232
77,0.994893
77,0.901368
77,0.973611
77,0.931574
77,1.02149
77,1.05512
77,0.927624
77,1.01159
77,0.968711
77,0.994613
76,1.07232
76,1.08641
76,0.893807
76,0.991921
76,0.904448
76,0.93763
76,0.904448
76,0.927624
76,0.975934
76,0.891295
76,0.978784
76,0.943872
76,0.925729
76,0.962971
76,1.05492
76,0.819323
76,1.02163
76,1.02569
76,1.01837
76,0.868299
76,0.971469
76,0.984252
76,1.01837
76,0.978784
76,0.923885
76,0.911728
75,1.04123
75,0.962971
75,0.927269
75,1.00215
75,0.889872
75,1.0247
75,0.936369
75,0.892388
75,1.04816
75,0.984252
75,1.02887
75,1.01237
75,0.96063
75,0.997375
75,0.949196
75,0.999394
75,1.05512
75,0.994613
75,0.901368
75,1.02463
75,0.902887
75,0.915088
75,0.93841
75,0.940507
75,0.869423
75,0.902231
75,1.03937
75,1.01837
75,0.93841
75,0.984252
75,0.984252
75,0.96238
75,0.968711
75,1.01159
74,1.00852
74,0.965376
74,1.0247
74,1.03937
74,0.88189
74,1.03213
74,1.00497
74,0.927624
74,1.03794
74,0.929571
74,0.940507
74,0.936369
74,0.951444
74,0.984252
74,0.94799
74,0.986949
74,0.968711
74,1.02771
74,0.994893
74,0.976162
74,1.01837
74,1.00497
74,0.914938
74,1.07612
74,1.02569
74,1.08268
74,0.893807
74,0.877846
74,0.936369
74,0.95233
74,0.94799
74,0.984252
74,1.02569
74,0.950131
74,0.936369
73,1.01085
73,0.986949
73,1.03213
73,0.95233
73,0.939633
73,0.973611
73,0.902887
73,1.01837
73,1.02771
73,0.923885
73,1.03937
73,1.07612
73,0.96063
73,1.1811
73,0.943872
73,1.05342
73,1.02463
73,0.867206
73,0.997375
73,1.03213
73,1.00787
73,1.05342
73,1.01837
73,0.906051
73,0.99257
73,0.962971
73,1.01085
73,0.927624
73,0.95233
73,1.04049
73,1.08268
73,0.95613
73,1.02887
73,0.936369
73,0.931574
73,0.950131
73,0.927624
73,0.964844
73,1.0247
73,1.04987
73,1.02149
73,0.93763
73,0.915088
73,1.03794
73,1.15982
73,0.997375
73,1.02149
72,0.973611
72,1.00497
72,1.10858
72,1.02149
72,0.968711
72,0.96063
72,0.95233
72,0.940507
72,0.845144
72,1.03213
72,0.973611
72,0.968711
72,0.997375
72,0.936369
72,1.02569
72,1.05651
72,1.02887
72,0.879085
72,0.981627
72,0.95233
72,1.01837
72,0.949196
72,0.856565
72,1.01837
72,1.03893
72,1.08661
72,0.93841
72,0.902887
72,0.95233
72,0.902887
72,0.968711
72,0.889872
72,1.03794
72,0.904448
72,0.95233
72,1.01159
72,0.940507
72,0.981695
72,1.02569
72,1.06196
72,0.929571
72,0.975934
72,1.02253
72,1.04627
72,0.984252
72,0.915088
72,0.923885
72,1.02149
72,1.05342
72,1.08002
72,0.940507
72,1.08661
71,0.902231
71,0.879085
71,0.95233
71,1.03937
71,0.95613
71,0.962971
71,0.918635
71,0.916837
71,0.962971
71,0.978784
71,0.927624
71,0.936369
71,0.936369
71,0.950131
71,0.879085
71,0.831146
71,0.999016
71,0.949196
71,0.906051
71,0.95233
71,1.04331
71,1.00066
71,0.950131
71,1.01159
71,1.03937
71,1.03937
71,0.951444
71,0.915088
71,0.997735
71,1.00215
71,0.95233
71,0.96238
71,0.962971
71,0.994893
71,0.925729
71,0.949196
71,0.958351
71,0.958351
71,1.02771
71,0.973611
71,1.02463
71,1.00787
71,1.01085
71,0.845925
