Height,Weight,Overall,pozicija
5'7,159,94,N
5'9,150,92,N
5'8,146,91,V
6'0,190,91,N
6'0,181,91,B
6'0,176,90,N
6'2,172,90,B
5'8,148,90,V
5'6,159,89,V
5'10,165,89,N
6'2,196,89,N
5'9,161,89,V
6'2,168,89,V
6'1,170,89,N
5'8,154,89,N
6'2,187,89,B
5'10,161,88,V
5'9,157,88,V
6'1,185,88,V
5'11,172,88,V
5'4,130,88,N
5'9,174,88,N
5'11,168,88,V
5'8,150,88,N
6'2,176,88,V
6'3,203,88,B
6'1,181,88,N
6'1,196,88,N
6'0,181,88,B
6'0,165,87,B
5'11,165,87,N
6'2,196,87,B
6'1,187,87,N
5'7,150,87,B
5'7,134,87,N
6'2,190,87,B
6'0,174,87,V
6'0,172,87,V
6'4,187,87,B
6'0,165,86,N
5'8,141,86,N
5'9,152,86,V
6'4,203,86,B
5'7,152,86,N
5'11,168,86,V
6'3,179,86,B
5'5,132,86,V
5'11,176,86,B
6'1,165,86,V
5'9,154,86,V
5'11,157,86,V
5'10,168,86,B
6'3,187,86,B
6'1,179,86,B
5'10,159,86,V
6'2,207,86,B
5'10,148,86,V
5'7,150,86,N
6'2,176,85,B
5'8,165,85,V
5'9,154,85,V
6'0,170,85,V
5'10,148,85,N
5'9,161,85,N
6'0,179,85,B
6'0,163,85,V
5'7,163,85,N
5'9,146,85,V
6'4,198,85,B
5'11,165,85,V
6'1,176,85,V
6'4,185,85,N
6'2,198,85,V
6'2,190,85,N
5'9,170,85,V
6'6,201,85,B
5'11,165,85,V
6'1,172,85,B
6'1,179,85,N
6'0,163,85,B
6'3,187,85,B
6'2,179,85,B
6'5,209,85,N
6'2,174,84,B
6'1,176,84,B
5'11,157,84,B
6'2,187,84,B
5'10,152,84,V
6'5,214,84,B
6'0,168,84,N
6'0,165,84,V
6'2,183,84,V
5'11,148,84,V
5'10,154,84,V
5'9,172,84,N
6'0,143,84,V
6'2,172,84,B
5'10,159,84,V
5'9,148,84,N
6'4,187,84,V
5'10,165,84,V
6'0,154,84,B
5'11,176,84,V
5'10,161,84,V
5'11,152,84,V
5'9,172,84,N
5'9,157,84,V
6'2,179,84,V
5'11,163,84,N
5'10,159,84,N
6'3,181,84,B
6'2,192,84,B
5'9,148,84,V
5'11,176,84,V
5'10,148,83,N
5'10,165,83,N
6'1,176,83,B
6'2,183,83,N
6'2,176,83,B
5'8,141,83,V
5'10,157,83,V
6'5,214,83,B
6'3,176,83,V
5'11,165,83,N
6'4,176,83,V
5'11,143,83,V
5'8,154,83,N
5'11,161,83,V
5'11,170,83,N
6'3,190,83,B
5'9,172,83,V
5'10,165,83,V
5'9,165,83,N
6'2,174,83,B
6'2,154,83,B
6'2,170,83,V
5'9,154,83,V
5'9,154,83,V
6'2,183,83,V
5'11,168,83,B
6'4,194,83,B
5'10,150,83,B
6'0,170,83,N
5'10,159,83,V
5'10,148,83,V
5'9,146,83,V
5'10,165,83,V
6'1,176,83,V
6'5,196,83,N
5'10,146,83,V
6'2,194,83,N
6'2,172,83,B
5'8,150,83,V
5'7,139,83,V
6'4,190,83,V
5'10,170,83,V
6'1,181,83,V
5'7,159,83,V
6'0,183,83,V
6'2,196,82,B
6'3,181,82,V
5'9,154,82,V
5'11,181,82,B
5'8,159,82,V
5'10,150,82,V
6'0,168,82,B
5'10,161,82,V
5'10,141,82,B
5'11,176,82,V
6'1,185,82,V
6'3,185,82,B
6'0,148,82,V
6'0,163,82,B
5'7,141,82,V
5'11,159,82,N
5'10,163,82,V
5'9,137,82,V
5'8,139,82,V
5'8,148,82,B
6'4,220,82,B
6'3,198,82,V
6'5,187,82,B
6'2,176,82,V
6'2,174,82,B
6'2,187,82,N
5'7,150,82,N
5'9,154,82,V
5'11,146,82,N
5'7,141,82,N
6'0,161,82,B
6'5,203,82,B
6'2,205,82,N
6'2,176,82,B
6'1,172,82,B
6'0,174,82,V
5'9,165,82,V
5'11,165,82,V
5'8,141,82,V
6'5,165,82,V
5'9,152,82,V
5'10,159,82,B
6'2,183,82,B
6'1,181,82,V
5'4,134,82,N
5'8,146,82,V
6'0,176,82,V
5'11,168,82,N
6'0,165,82,V
6'0,176,82,V
6'3,198,82,B
5'9,152,82,V
6'5,187,82,B
6'2,170,82,B
5'7,148,82,V
6'2,198,82,B
6'4,192,82,B
6'1,165,82,B
5'10,139,82,V
5'8,150,82,B
5'9,152,82,N
5'7,139,81,V
5'10,174,81,V
6'2,187,81,B
5'11,154,81,V
5'10,148,81,B
6'1,170,81,B
5'10,154,81,V
5'9,154,81,N
5'7,161,81,V
5'11,150,81,V
6'1,174,81,N
5'7,150,81,V
6'2,179,81,B
5'10,161,81,V
6'0,154,81,B
