drzava,overall,koef
Albania,72.5,1383
Algeria,78.8333,1343
Argentina,86.7083,1575
Australia,75.7083,1431
Austria,79.8333,1499
Belgium,86.25,1729
Bolivia,69.5833,1378
Bosnia Herzegovina,77.9167,1468
Bulgaria,69.5833,1430
Cameroon,78.375,1408
Canada,71.4167,1307
Chile,80.125,1568
China PR,73.375,1313
Colombia,82.2917,1567
Congo,66.5833,1289
Costa Rica,73.2917,1460
Croatia,83.5,1634
Czech Republic,79.0833,1418
DR Congo,76.5,1447
Denmark,81,1581
Ecuador,75.0833,1378
Egypt,74.4167,1364
England,85.125,1612
Finland,73.7083,1378
France,88.3333,1729
Georgia,71.625,1254
Germany,88.25,1568
Ghana,78.3333,1407
Greece,79.1667,1433
Guinea,72.7083,1353
Hungary,75.25,1409
Iceland,74.3333,1461
India,62.0417,1248
Italy,87.0833,1526
Ivory Coast,80.0833,1351
Jamaica,71.2083,1401
Japan,78.4583,1398
Korea Republic,76,1395
Kosovo,71.75,1092
Mali,74.875,1365
Mexico,80.5833,1550
Morocco,79.7917,1425
Netherlands,84.1667,1540
New Zealand,69.125,1157
Nigeria,77.8333,1415
Northern Ireland,73.0417,1487
Norway,77.5833,1405
Paraguay,78.6667,1477
Peru,75.2083,1525
Poland,79.875,1537
Portugal,85.9583,1606
Republic of Ireland,76.9583,1478
Romania,76.375,1489
Russia,80.6667,1423
Saudi Arabia,73.375,1337
Scotland,78.1667,1448
Senegal,80.4167,1492
Serbia,81.5833,1463
Slovakia,76.875,1491
Slovenia,78.2917,1376
South Africa,74.7917,1325
Spain,89.25,1597
Sweden,79.375,1550
Switzerland,80.9167,1598
Tunisia,73.0833,1503
Turkey,80.375,1456
Ukraine,79.5833,1483
United States,77.9167,1510
Uruguay,83.125,1632
Venezuela,76.125,1476
Wales,76.375,1536
